antecedent,consequent,support,confidence,lift
HUMIDITY_HIGH + RADIATION_MID + RAIN_HIGH,NO2_LOW + O3_MID + PM10_LOW,0.005784479396854283,0.24585635359116023,4.368066808722392
HUMIDITY_HIGH + RADIATION_LOW + RAIN_HIGH + TEMP_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.007084362407383336,0.3906810035842294,4.355810087787648
HUMIDITY_HIGH + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH,0.026192642662160405,0.5732574679943101,4.3513267896203525
RADIATION_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.02157805797478227,0.3229571984435798,4.35115538988872
RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.028207461328480437,0.3398590446358653,4.33587998405259
HUMIDITY_MID + RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + PM10_HIGH,0.006044455998960093,0.775,4.334478371501272
RADIATION_HIGH + RAIN_LOW + WIND_LOW,O3_HIGH + PM10_MID,0.007864292213700767,0.42907801418439717,4.33188604084064
RADIATION_MID + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.009164175224229819,0.5053763440860215,4.331877676940127
HUMIDITY_LOW + RADIATION_HIGH + RAIN_LOW + TEMP_HIGH + WIND_MID,O3_HIGH + PM25_MID,0.008319251267385936,0.27586206896551724,4.3310344827586205
HUMIDITY_HIGH + RADIATION_MID + RAIN_HIGH + TEMP_MID,O3_MID + PM10_LOW,0.007084362407383336,0.4678111587982833,4.330771654193975
HUMIDITY_HIGH + RADIATION_LOW + TEMP_LOW,O3_LOW + PM25_HIGH,0.030612244897959183,0.38797364085667213,4.325624955232433
TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.03386195242428181,0.28657865786578657,4.322842382277443
RADIATION_LOW + RAIN_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM25_HIGH,0.016508514233718966,0.3386666666666667,4.3206677722498625
RADIATION_LOW + RAIN_MID,O3_LOW + PM10_HIGH,0.00669439750422462,0.569060773480663,4.319471662937089
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW,O3_LOW + PM10_HIGH,0.024697777200051996,0.5680119581464873,4.31151060090866
RADIATION_LOW + RAIN_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.01644352008319251,0.3862595419847328,4.306513994910941
RADIATION_LOW + RAIN_HIGH + TEMP_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.007279344858962694,0.38620689655172413,4.3059270364817595
